"alcohol","attire","byob","byob_corkage","corkage","delivery","dogs","drivethru","dancing","groups","happy_hour","tv","noise","outdoor","price","smoking","takeout","reservations","waiters","wheelchairs","wifi","business_id","categories","city","latitude","longitude","name","neighborhoods","open","review_count","stars","state","accepts_cc","romantic","intimate","touristy","hipster","divey","classy","trendy","upscale","casual","parking_lot","valet","live_music","karaoke","location","tip","type","country"
"none","casual",NA,NA,NA,FALSE,FALSE,NA,NA,TRUE,NA,FALSE,"average",TRUE,1,NA,TRUE,FALSE,FALSE,TRUE,"free","ShEYKerTwb2LSORE5o_s7A","Bakeries,Food,Breakfast & Brunch,Coffee & Tea,Restaurants","Middleton",43.107227,-89.496995,"Prairie Cafe & Bakery","",TRUE,38,3.5,"WI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.107227:-89.496995","Prairie Cafe & Bakery (3.5 stars) Bakeries,Food,Breakfast & Brunch,Coffee & Tea,Restaurants","other","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE,"average",FALSE,1,NA,TRUE,FALSE,TRUE,NA,"no","X47o6R2rWiqGqvBtC7VS3Q","Breakfast & Brunch,Restaurants","Middleton",43.0999335,-89.511243,"Three Sisters Old Town Inn","",TRUE,19,4,"WI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"43.0999335:-89.511243","Three Sisters Old Town Inn (4 stars) Breakfast & Brunch,Restaurants","other","USA"
"full_bar","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,"average",TRUE,2,"yes",NA,FALSE,FALSE,TRUE,NA,"Nj0vQjUYjaa7qbvZlEr2jQ","American (New),Restaurants","Middleton",43.0968907,-89.4949394,"Club Tavern & Grille","",TRUE,16,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"43.0968907:-89.4949394","Club Tavern & Grille (2.5 stars) American (New),Restaurants","american","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE,"average",TRUE,1,NA,TRUE,NA,TRUE,NA,NA,"B0Vuwn6Hugc-0U5n31YBfg","Bakeries,Food,American (Traditional),Restaurants,Donuts","Middleton",43.102896,-89.48674,"C's Restaurant Bakery and Coffee Shop","",TRUE,15,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.102896:-89.48674","C's Restaurant Bakery and Coffee Shop (4 stars) Bakeries,Food,American (Traditional),Restaurants,Donuts","american","USA"
NA,"casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,TRUE,"average",FALSE,1,NA,TRUE,FALSE,TRUE,TRUE,"no","Xp7OA8gz7zDgB3I54jyb4g","Restaurants","Sun Prairie",43.1822682,-89.2255538,"SIR Hobo's","",TRUE,20,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.1822682:-89.2255538","SIR Hobo's (3 stars) Restaurants","other","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,TRUE,"average",FALSE,1,NA,TRUE,FALSE,TRUE,NA,"no","yV-eB-pQVeWE7W-WPC8BUg","Diners,Restaurants","Sun Prairie",43.188072,-89.230853,"Prairie Diner","",TRUE,9,4.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"43.188072:-89.230853","Prairie Diner (4.5 stars) Diners,Restaurants","other","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,"average",FALSE,1,NA,NA,FALSE,TRUE,NA,"no","MlWXHxdbIODf9GUcvUTfGQ","Restaurants","Sun Prairie",43.1867059,-89.2308961,"Country Cafe","",TRUE,9,3.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"43.1867059:-89.2308961","Country Cafe (3.5 stars) Restaurants","other","USA"
NA,"casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE,"average",FALSE,2,NA,TRUE,TRUE,TRUE,NA,NA,"yYIEKwgQUHJpySOcVdCAkg","American (New),Restaurants","Madison",43.136087,-89.299369,"Perkins Restaurant & Bakery","Bluff Acres",TRUE,8,2.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"43.136087:-89.299369","Perkins Restaurant & Bakery (2.5 stars) American (New),Restaurants","american","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE,"average",FALSE,1,NA,TRUE,FALSE,TRUE,TRUE,"no","QF14BFUVHRODxGNVflgm3A","Breakfast & Brunch,Restaurants","Madison",43.1294409,-89.2941061,"Cracker Barrel Old Country Store","",TRUE,13,3,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.1294409:-89.2941061","Cracker Barrel Old Country Store (3 stars) Breakfast & Brunch,Restaurants","other","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,"loud",FALSE,1,NA,TRUE,FALSE,TRUE,NA,"no","1YEuqVtVMHdpavzoGcUUug","Breakfast & Brunch,Restaurants","Madison",43.1296507,-89.3062815,"International House of Pancakes","Bluff Acres",TRUE,9,2,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.1296507:-89.3062815","International House of Pancakes (2 stars) Breakfast & Brunch,Restaurants","other","USA"
NA,"casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE,"average",TRUE,1,NA,TRUE,TRUE,FALSE,FALSE,"free","JPFzpR5PvZWqHXQMIZFk2w","Cafes,Sandwiches,Restaurants","Madison",43.122992,-89.309042,"Cool Beans Coffee House and Cafe","",TRUE,25,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.122992:-89.309042","Cool Beans Coffee House and Cafe (4 stars) Cafes,Sandwiches,Restaurants","other","USA"
"full_bar","casual",NA,"yes_corkage",TRUE,FALSE,TRUE,NA,NA,TRUE,NA,FALSE,"average",TRUE,1,NA,TRUE,FALSE,TRUE,TRUE,"no","fjaQ3Ixkofh8xGhklUtDnA","American (Traditional),Diners,Restaurants","Madison",43.09242,-89.3518969,"Monty's Blue Plate Diner","Schenk - Atwood,Williamson - Marquette",TRUE,266,4,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.09242:-89.3518969","Monty's Blue Plate Diner (4 stars) American (Traditional),Diners,Restaurants","american","USA"
"none","casual",NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,TRUE,"average",FALSE,1,NA,TRUE,TRUE,TRUE,TRUE,"free","j515klfbCAEF3KPiKvHz9g","Diners,Restaurants","Madison",43.140174,-89.3258863,"Pat O'Malley's Jet Room","",TRUE,36,4.5,"WI",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"43.140174:-89.3258863","Pat O'Malley's Jet Room (4.5 stars) Diners,Restaurants","other","USA"
